Date,Category,Notes,Link
3/19/2020,School Closed,COVID-19 keeps schools closed in Stanislaus County CA,https://www.modbee.com/news/local/education/article241696016.html
5/20/2020,Business Opened,"Reopening for Modesto, Turlock, all Stanislaus County",https://www.abc10.com/article/news/local/modesto/stanislaus-county-reopening/103-46058a20-799c-404f-8e77-569ff3f6e9bf
6/22/2020,Mask Mandate,Face masks will be mandatory in Stanislaus County | Modesto,https://www.modbee.com/news/local/article243620522.html
3/31/2020,Stay at Home Order,Stanislaus Public Health Order - stancoe.org,https://www.stancoe.org/sites/default/files/administration/Communications/COVID19/Stanislaus%20Public%20health-order-03.31.2020.pdf
5/13/2020,Stay at Home Order Lifted,COVID-19 stay-home order is lifted in Stanislaus County CA,https://www.modbee.com/news/local/article242700021.html
5/13/2020,Business Opened,Tattoo Shops Choose To Reopen After Stanislaus County Lifts,https://sacramento.cbslocal.com/2020/05/13/tattoo-shops-reopen-stanislaus-county-lifts-order/
5/20/2020,Business Opened,"Reopening for Modesto, Turlock, all Stanislaus County",https://www.abc10.com/article/news/local/modesto/stanislaus-county-reopening/103-46058a20-799c-404f-8e77-569ff3f6e9bf
7/1/2020,Business Closed,"Newsom orders new shutdown of restaurants, other indoor",https://www.sfchronicle.com/politics/article/Newsom-orders-shutdown-of-indoor-business-in-19-15380217.php
8/28/2020,Purple Tier,,
9/29/2020,School Opened,"Knights Ferry Elementary School District Opens 29, Roberts Ferry SD the 28th",https://www.modbee.com/news/local/education/article246281000.html
9/29/2020,Public Facility Opened,Parks reopen as Stanislaus County remains in widespread,https://www.turlockjournal.com/news/local/parks-reopen-stanislaus-county-remains-widespread-covid-19-tier/
10/10/2020,School Opened,"Other schools begin to open as soon as Oct. 5, others later in the next week ",https://www.modbee.com/news/local/education/article246281000.html
10/13/2020,Red Tier,Moves to Red Tier,http://schsa.org/pdf/press-releases/2020/20-35-tier-2.pdf
11/2/2020,School Opened,Others schools begin to open,https://www.modbee.com/news/local/education/article246281000.html
11/10/2020,Business Closed,Sacramento County Restaurants Forced To Close Indoor,https://sacramento.cbslocal.com/2020/11/10/sacramento-restaurants-close-indoor-operations/
11/16/2020,Purple Tier,"Sacramento, Stanislaus County Drop Back Into Most",http://schsa.org/pdf/press-releases/2020/20-38-purple-tier.pdf
12/5/2020,Stay at Home Order,Regional Stay at Home Order,http://schsa.org/pdf/press-releases/2020/20-42-stay-home-order.pdf
1/25/2021,Stay at Home Order Lifted,Regional Stay at Home Order Lifted,https://www.theriverbanknews.com/news/governor-lifts-regional-stay-home-orders/
3/23/2021,Red Tier,Moves to Red Tier,http://schsa.org/pdf/press-releases/2021/21-14-red-tier.pdf
3/11/2021,Business Opened,"California areas may reopen indoor dining, gyms by next",https://www.latimes.com/california/story/2021-03-11/california-areas-may-reopen-indoor-dining-gyms-next-week
3/22/2021,School Opened,"Stanislaus schools reopening in-person jr. high, high schools",https://www.abc10.com/article/news/local/modesto/stanislaus-county-schools-planning-return-classroom/103-26a37edf-1d56-4ac4-a540-1959c2e55607
6/15/2021,Mask “Mandate Lifted”,COVID restrictions are set expire in Stanislaus County. Here's,https://www.msn.com/en-us/news/us/covid-restrictions-are-set-expire-in-stanislaus-county-heres-what-you-need-to-know/ar-AAKZYRg
