Dates,Infected,Recovered,Deaths,Vaccinated
3/1/2020,0.0,0.0,0.0,0.0
3/2/2020,0.0,0.0,0.0,0.0
3/3/2020,0.0,0.0,0.0,0.0
3/4/2020,0.0,0.0,0.0,0.0
3/5/2020,0.0,0.0,0.0,0.0
3/6/2020,1.0,0.0,0.0,0.0
3/7/2020,1.0,0.0,0.0,0.0
3/8/2020,2.0,0.0,0.0,0.0
3/9/2020,3.0,0.0,0.0,0.0
3/10/2020,5.0,0.0,0.0,0.0
3/11/2020,9.0,0.0,0.0,0.0
3/12/2020,12.0,0.0,0.0,0.0
3/13/2020,12.0,0.0,0.0,0.0
3/14/2020,12.0,0.0,0.0,0.0
3/15/2020,19.0,0.0,0.0,0.0
3/16/2020,24.0,0.0,0.0,0.0
3/17/2020,30.0,0.0,1.0,0.0
3/18/2020,39.0,0.0,3.0,0.0
3/19/2020,56.0,0.0,4.0,0.0
3/20/2020,79.0,0.0,4.0,0.0
3/21/2020,126.0,0.0,12.0,0.0
3/22/2020,201.0,0.0,16.0,0.0
3/23/2020,259.0,0.0,21.0,0.0
3/24/2020,365.0,0.0,27.0,0.0
3/25/2020,477.0,0.0,32.0,0.0
3/26/2020,645.0,0.0,38.0,0.0
3/27/2020,981.0,0.0,47.0,0.0
3/28/2020,1232.0,0.0,51.0,0.0
3/29/2020,1514.0,0.0,65.0,0.0
3/30/2020,1786.0,0.0,84.0,0.0
3/31/2020,2159.0,0.0,99.0,0.0
4/1/2020,2565.0,0.0,124.0,0.0
4/2/2020,3039.0,0.0,149.0,0.0
4/3/2020,3457.0,0.0,172.0,0.0
4/4/2020,3953.0,0.0,205.0,0.0
4/5/2020,4411.0,0.0,234.0,0.0
4/6/2020,4944.0,0.0,271.0,0.0
4/7/2020,5507.0,0.0,302.0,0.0
4/8/2020,5943.0,0.0,345.0,0.0
4/9/2020,6351.0,0.0,381.0,0.0
4/10/2020,6907.0,0.0,423.0,0.0
4/11/2020,7435.0,0.0,452.0,0.0
4/12/2020,7928.0,0.0,481.0,0.0
4/13/2020,8236.0,0.0,512.0,0.0
4/14/2020,8527.0,0.0,548.0,0.0
4/15/2020,8955.0,0.0,603.0,0.0
4/16/2020,9542.0,0.0,645.0,0.0
4/17/2020,10154.0,0.0,681.0,0.0
4/18/2020,10641.0,0.0,719.0,0.0
4/19/2020,11210.0,0.0,756.0,0.0
4/20/2020,11686.0,0.0,796.0,0.0
4/21/2020,12097.0,0.0,841.0,0.0
4/22/2020,12438.0,0.0,894.0,0.0
4/23/2020,13039.0,0.0,946.0,0.0
4/24/2020,13680.0,0.0,986.0,0.0
4/25/2020,14395.0,0.0,1028.0,0.0
4/26/2020,15012.0,0.0,1073.0,0.0
4/27/2020,15961.0,0.0,1110.0,0.0
4/28/2020,16588.0,0.0,1156.0,0.0
4/29/2020,17182.0,0.0,1197.0,0.0
4/30/2020,17835.0,0.0,1242.0,0.0
5/1/2020,18630.0,0.0,1291.0,0.0
5/2/2020,19295.0,0.0,1329.0,0.0
5/3/2020,19933.0,0.0,1374.0,0.0
5/4/2020,20507.0,0.0,1411.0,0.0
5/5/2020,21033.0,0.0,1452.0,0.0
5/6/2020,21870.0,0.0,1491.0,0.0
5/7/2020,22503.0,0.0,1537.0,0.0
5/8/2020,23146.0,0.0,1576.0,0.0
5/9/2020,23732.0,0.0,1606.0,0.0
5/10/2020,24126.0,0.0,1645.0,0.0
5/11/2020,24627.0,0.0,1679.0,0.0
5/12/2020,25127.0,0.0,1723.0,0.0
5/13/2020,25473.0,0.0,1765.0,0.0
5/14/2020,26053.0,0.0,1793.0,0.0
5/15/2020,26655.0,0.0,1840.0,0.0
